date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2016-12-03,4,0.28,2.19,1.49,0.8,0.77,0.05,0.04,1.86,0.56,0.11,0.38,0.15,0.0,0.0,8.27,0.3,7.69,0.22,1.09,0.14,1.7,0.04,0.0,2.21,0.0,0.0,1.21
2016-12-04,4,0.01,9.62,0.63,0.03,0.25,0.13,0.43,0.42,0.64,0.01,0.0,0.0,0.08,0.1,0.29,1.61,1.19,0.04,0.0,0.07,1.08,0.01,0.0,0.04,0.0,0.0,0.67
2016-12-05,4,0.08,0.61,0.58,1.03,0.59,0.03,0.05,0.52,0.75,0.0,0.11,0.13,0.61,0.04,1.76,0.0,0.01,0.36,0.0,0.0,1.26,0.12,0.19,0.07,0.0,0.53,0.36
2016-12-06,4,1.0,0.0,0.2,0.01,0.53,0.02,1.2,0.0,0.0,0.19,0.0,0.0,0.46,0.18,0.73,0.69,0.1,1.28,0.48,0.76,0.0,0.0,0.88,0.0,0.01,0.02,0.35
2016-12-07,4,0.02,0.33,0.02,0.0,0.63,0.88,0.0,0.0,0.13,0.2,0.0,0.07,0.0,1.59,0.0,0.0,0.96,1.93,0.05,0.0,0.0,0.02,0.02,0.0,0.0,0.08,0.27
2016-12-08,4,0.0,0.01,0.05,0.0,0.2,2.72,0.0,1.49,0.67,0.03,0.51,0.0,0.02,0.32,0.0,0.05,0.19,0.59,0.0,0.02,0.0,0.07,0.79,0.08,0.0,0.05,0.31
2016-12-09,4,0.0,0.0,0.02,0.0,0.0,0.71,0.0,0.37,0.0,0.02,0.3,0.19,0.14,0.08,0.0,4.62,0.02,0.0,0.25,0.0,0.0,0.06,0.32,0.8,0.78,1.8,0.35
2016-12-10,4,0.07,0.0,0.0,0.0,0.1,2.26,0.03,0.0,0.32,0.97,0.0,0.06,0.0,0.01,0.02,0.5,0.0,0.0,0.08,0.0,0.0,0.04,0.12,0.0,0.4,0.0,0.2
2016-12-11,4,4.25,0.0,0.0,0.04,0.3,0.01,5.62,0.86,0.0,0.24,0.0,0.07,0.03,0.0,0.0,0.0,1.08,0.01,0.02,0.39,0.12,0.36,0.15,0.0,0.02,0.0,0.54
2016-12-12,4,1.41,0.02,0.0,0.01,0.37,0.02,0.01,0.4,0.0,0.02,0.47,0.18,0.04,3.14,0.05,1.56,3.69,0.37,2.2,0.01,0.0,0.17,0.0,0.53,0.05,0.02,0.59
2016-12-13,4,0.96,0.01,0.0,0.11,0.0,0.0,0.03,0.08,0.02,0.0,0.03,0.05,6.74,0.0,0.58,0.0,0.02,0.42,0.0,0.02,0.0,0.0,1.06,1.12,0.02,0.02,0.45
2016-12-14,4,3.82,0.0,0.0,0.79,0.0,8.62,0.78,0.0,0.36,7.11,0.07,0.0,0.03,0.0,0.0,0.0,0.02,0.1,0.01,0.22,0.06,0.0,0.0,0.36,0.0,2.33,0.89
2016-12-15,4,3.16,1.13,0.0,0.0,3.21,1.92,0.22,0.0,0.07,0.02,0.0,0.0,0.7,0.02,0.02,0.1,0.0,1.69,0.04,0.03,0.17,0.13,0.0,0.15,0.13,0.12,0.52
2016-12-16,4,0.74,0.0,0.07,0.0,2.67,0.92,0.68,0.0,0.0,0.09,0.0,0.22,0.0,0.01,1.48,0.01,0.0,1.53,0.0,0.18,0.13,0.15,0.05,0.0,0.0,0.03,0.36
2016-12-17,4,0.41,0.09,0.01,0.01,0.03,0.07,0.0,1.19,0.01,0.14,0.0,0.11,0.0,-0.01,0.0,0.0,0.08,1.06,1.06,0.0,0.0,0.01,0.02,0.1,1.93,0.04,0.25
2016-12-18,4,0.03,0.01,0.0,1.18,0.0,0.11,0.0,0.54,0.05,0.0,0.01,0.0,0.0,0.0,0.18,0.03,0.02,0.01,0.0,0.0,0.15,1.6,0.03,0.23,0.01,0.0,0.17
2016-12-19,4,0.0,0.0,1.4,0.08,0.03,0.02,0.01,0.58,0.24,0.0,0.29,0.03,0.0,0.0,0.14,1.5,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.01,0.0,0.11,0.27
2016-12-20,4,0.0,0.0,0.0,0.35,0.17,0.0,0.0,0.9,0.2,0.78,0.04,0.22,0.0,0.01,0.0,0.01,0.82,0.0,0.22,0.02,0.03,0.41,0.03,0.03,0.17,0.0,0.18
2016-12-21,4,0.03,0.36,0.0,0.0,0.03,0.0,0.14,0.26,0.11,0.64,0.97,2.08,0.02,0.0,0.01,1.08,0.53,0.02,1.38,3.38,3.23,0.01,0.0,0.0,0.02,20.37,0.57
