catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2017_10,10,3,24.097,11.215,-1.149,0.0
A,2017_11,11,3,14.515,6.997,-1.074,0.0
A,2017_12,12,3,7.876,6.181,-0.274,0.0
A,2018_1,1,3,10.809,22.472,0.519,1.0
A,2018_2,2,3,64.67,82.035,0.212,1.0
A,2018_3,3,3,136.386,153.425,0.111,1.0
A,2018_4,4,3,67.118,72.236,0.071,1.0
A,2018_5,5,3,46.577,40.796,-0.142,0.0
A,2018_6,6,3,80.068,67.971,-0.178,0.0
A,2018_7,7,3,132.194,68.53,-0.929,0.0
A,2018_8,8,3,209.51,76.115,-1.753,0.0
A,2018_9,9,3,80.695,83.931,0.039,1.0
A,2018_10,10,3,54.905,95.027,0.422,1.0
A,2018_11,11,3,7.475,17.754,0.579,1.0
A,2018_12,12,3,9.905,12.679,0.219,1.0
A,2019_1,1,3,14.27,11.572,-0.233,0.0
A,2019_2,2,3,36.419,16.137,-1.257,0.0
A,2019_3,3,3,54.727,41.637,-0.314,0.0
A,2019_4,4,3,43.818,91.338,0.52,1.0
A,2019_5,5,3,70.203,163.427,0.57,1.0
A,2019_6,6,3,128.061,252.578,0.493,1.0
A,2019_7,7,3,47.203,194.461,0.757,1.0
A,2019_8,8,3,40.328,84.616,0.523,1.0
A,2019_9,9,3,35.202,76.563,0.54,1.0
A,2019_10,10,3,16.944,60.176,0.718,1.0
A,2019_11,11,3,46.935,80.696,0.418,1.0
A,2019_12,12,3,34.464,72.46,0.524,1.0
A,2020_1,1,3,10.864,56.045,0.806,1.0
A,2020_2,2,3,61.46,12.69,-3.843,0.0
A,2020_3,3,3,46.449,24.164,-0.922,0.0
A,2020_4,4,3,15.962,45.185,0.647,1.0
A,2020_5,5,3,33.647,43.341,0.224,1.0
A,2020_6,6,3,174.033,81.347,-1.139,0.0
A,2020_7,7,3,348.33,135.6,-1.569,0.0
A,2020_8,8,3,121.29,137.014,0.115,1.0
A,2020_9,9,3,22.158,49.393,0.551,1.0
A,2020_10,10,3,16.158,22.404,0.279,1.0
A,2020_11,11,3,11.241,8.87,-0.267,0.0
A,2020_12,12,3,35.194,6.202,-4.675,0.0
