catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2013_4,4,4,161.326,101.029,-0.597,0.0
A,2013_5,5,4,59.1,56.907,-0.039,0.0
A,2013_6,6,4,74.178,75.079,0.012,1.0
A,2013_7,7,4,63.464,72.656,0.127,1.0
A,2013_8,8,4,46.461,112.997,0.589,1.0
A,2013_9,9,4,16.259,34.623,0.53,1.0
A,2013_10,10,4,78.809,9.628,-7.185,0.0
A,2013_11,11,4,31.08,15.785,-0.969,0.0
A,2013_12,12,4,73.244,11.359,-5.448,0.0
A,2014_1,1,4,114.854,11.443,-9.037,0.0
A,2014_2,2,4,118.725,40.014,-1.967,0.0
A,2014_3,3,4,140.571,93.322,-0.506,0.0
A,2014_4,4,4,163.216,234.195,0.303,1.0
A,2014_5,5,4,50.638,242.227,0.791,1.0
A,2014_6,6,4,67.195,217.262,0.691,1.0
A,2014_7,7,4,46.309,128.239,0.639,1.0
A,2014_8,8,4,33.227,65.621,0.494,1.0
A,2014_9,9,4,25.189,52.291,0.518,1.0
A,2014_10,10,4,15.927,48.232,0.67,1.0
A,2014_11,11,4,66.988,10.36,-5.466,0.0
A,2014_12,12,4,97.702,12.075,-7.091,0.0
A,2015_1,1,4,87.259,10.853,-7.04,0.0
A,2015_2,2,4,128.639,43.648,-1.947,0.0
A,2015_3,3,4,96.093,85.588,-0.123,0.0
A,2015_4,4,4,177.952,150.481,-0.183,0.0
A,2015_5,5,4,178.993,336.207,0.468,1.0
A,2015_6,6,4,257.247,389.607,0.34,1.0
A,2015_7,7,4,96.222,330.125,0.709,1.0
A,2015_8,8,4,65.348,120.358,0.457,1.0
A,2015_9,9,4,48.098,34.928,-0.377,0.0
A,2015_10,10,4,19.232,74.018,0.74,1.0
A,2015_11,11,4,46.364,95.831,0.516,1.0
A,2015_12,12,4,103.098,13.66,-6.547,0.0
A,2016_1,1,4,73.369,28.306,-1.592,0.0
A,2016_2,2,4,37.992,21.439,-0.772,0.0
A,2016_3,3,4,115.2,64.308,-0.791,0.0
A,2016_4,4,4,53.034,49.486,-0.072,0.0
A,2016_5,5,4,49.665,121.72,0.592,1.0
A,2016_6,6,4,58.324,168.677,0.654,1.0
A,2016_7,7,4,52.396,94.452,0.445,1.0
A,2016_8,8,4,91.235,140.811,0.352,1.0
A,2016_9,9,4,19.001,34.443,0.448,1.0
A,2016_10,10,4,16.877,40.569,0.584,1.0
A,2016_11,11,4,23.264,14.735,-0.579,0.0
A,2016_12,12,4,67.558,15.835,-3.266,0.0
A,2017_1,1,4,81.332,11.765,-5.913,0.0
A,2017_2,2,4,103.696,48.959,-1.118,0.0
A,2017_3,3,4,120.419,115.677,-0.041,0.0
A,2017_4,4,4,41.725,46.284,0.099,1.0
A,2017_5,5,4,69.878,55.453,-0.26,0.0
A,2017_6,6,4,57.099,80.026,0.286,1.0
A,2017_7,7,4,52.124,60.418,0.137,1.0
A,2017_8,8,4,81.178,103.598,0.216,1.0
A,2017_9,9,4,69.263,65.872,-0.051,0.0
A,2017_10,10,4,90.799,13.667,-5.644,0.0
A,2017_11,11,4,71.413,10.36,-5.893,0.0
A,2017_12,12,4,39.657,22.388,-0.771,0.0
A,2018_1,1,4,17.903,73.129,0.755,1.0
